Household,Ouside Temperature (F),Climate,Room Temperature (F),Hour,Predicted Consumption - Before Optimization(KWH),Predicted Consumption - After Optmization(KWH),Actual Consumption (KWH),Predicted Price ($/KWH),Actual Price ($/KWH),Cost to the Marketer - Predicted - Before Optimization($),Cost to the Marketer - Predicted - After Optimization($),Cost to the Marketer - Actual($),Cost to the Consumer - Predicted - Before Optimization($),Cost to the Consumer - Predicted - After Optimization($),Cost to the Consumer - Actual($)
House B,73,Cold,72,15,1.4937281825,0.99147,0.97754,0.137071,0.14244,0.2047468157,0.1359017844,0.1392407976,0.1493728182,0.099147,0.097754
House B,106,Hot,72,15,1.520474925,1.00383,0.994,0.119949,0.12441,0.1823794468,0.1204084047,0.12366354,0.1520474925,0.100383,0.0994
House B,86,Normal,72,15,1.5315110135,0.99685,0.9862,0.142243,0.13435,0.2178467211,0.1417949346,0.13249597,0.1531511014,0.099685,0.09862
House B,84.9,Normal,72,14,1.5569850979,1.04198,1.03427,0.06308,0.06782,0.09821462,0.0657280984,0.0701441914,0.1556985098,0.104198,0.103427
House B,73,Cold,72,16,1.5447799776,0.98172,0.98904,0.424417,0.42027,0.6556308838,0.4166586572,0.4156638408,0.1544779978,0.098172,0.098904
House B,102.2,Hot,72,13,1.5856163986,1.04598,1.051,0.054666,0.05032,0.086679306,0.0571795427,0.05288632,0.1585616399,0.104598,0.1051
House B,82.9,Normal,76,13,1.7440885427,1.23702,1.23799,0.054117,0.05889,0.0943848397,0.0669438113,0.0729052311,0.1744088543,0.123702,0.123799
House B,84.9,Normal,76,14,1.7751916273,1.21742,1.23509,0.06308,0.06782,0.1119790878,0.0767948536,0.0837638038,0.1775191627,0.121742,0.123509
House B,104,Hot,76,14,1.7882610045,1.2244,1.229,0.060644,0.06516,0.1084473004,0.0742525136,0.08008164,0.1788261004,0.12244,0.1229
House B,71.1,Cold,74,17,1.8230859822,1.2845,1.29369,0.534748,0.5295,0.9748915828,0.686883806,0.685008855,0.1823085982,0.12845,0.129369
House B,73,Cold,74,16,1.8071099713,1.24523,1.24638,0.424417,0.42027,0.7669681927,0.5284967809,0.5238161226,0.1807109971,0.124523,0.124638
House B,72,Cold,76,14,1.8121536301,1.22033,1.23462,0.05665,0.05819,0.1026585031,0.0691316945,0.0718425378,0.181215363,0.122033,0.123462
House B,104,Hot,72,14,1.7507102185,1.0443,1.04,0.060644,0.06516,0.1061700705,0.0633305292,0.0677664,0.1750710218,0.10443,0.104
House B,66.9,Cold,74,18,1.944554408,1.43087,1.40625,0.137562,0.1276,0.2674967935,0.1968333389,0.1794375,0.1944554408,0.143087,0.140625
House B,87.1,Normal,76,17,1.8709058589,1.27969,1.28476,0.527543,0.53457,0.9869832895,0.6750915017,0.6867941532,0.1870905859,0.127969,0.128476
House B,96.1,Hot,72,24,1.8320576172,1.2003,1.141,0.041011,0.03375,0.0751345149,0.0492255033,0.03850875,0.1832057617,0.12003,0.1141
House B,96.1,Hot,74,24,1.8348085326,1.1927,1.225,0.041011,0.03375,0.0752473327,0.0489138197,0.04134375,0.1834808533,0.11927,0.1225
House B,57.2,Cold,76,24,1.8424512183,1.2052,1.1612,0.026455,0.0315,0.048742047,0.031883566,0.0365778,0.1842451218,0.12052,0.11612
House B,102.2,Hot,76,13,1.8599117024,1.23958,1.238,0.054666,0.05032,0.1016739331,0.0677628803,0.06229616,0.1859911702,0.123958,0.1238
House B,86,Normal,72,16,1.7375234657,0.98879,0.9894,0.42499,0.41882,0.7384300977,0.4202258621,0.414380508,0.1737523466,0.098879,0.09894
House B,104,Hot,74,14,1.9137416075,1.32398,1.329,0.060644,0.06516,0.116056946,0.0802914431,0.08659764,0.1913741607,0.132398,0.1329
House B,106,Hot,74,15,1.9148609175,1.32275,1.318,0.119949,0.12441,0.2296856522,0.1586625398,0.16397238,0.1914860917,0.132275,0.1318
House B,96.1,Hot,76,24,1.8408995942,1.1716,1.169,0.041011,0.03375,0.0754971333,0.0480484876,0.03945375,0.1840899594,0.11716,0.1169
House B,70,Cold,72,13,1.7703372838,1.02895,1.03845,0.0566,0.05893,0.1002010903,0.05823857,0.0611958585,0.1770337284,0.102895,0.103845
House B,79,Normal,76,21,2.0237971554,1.52747,1.49767,0.037551,0.04682,0.075995607,0.057358026,0.0701209094,0.2023797155,0.152747,0.149767
House B,107.1,Hot,72,17,1.7837859297,1.03174,1.04,0.535123,0.529,0.9545448781,0.552107804,0.55016,0.178378593,0.103174,0.104
House B,62.1,Cold,76,23,1.8816336651,1.21902,1.30472,0.041392,0.03589,0.0778845807,0.0504576758,0.0468264008,0.1881633665,0.121902,0.130472
House B,86,Normal,76,16,1.8920657232,1.23908,1.26279,0.42499,0.41882,0.8041090117,0.5265966092,0.5288817078,0.1892065723,0.123908,0.126279
House B,106,Hot,72,16,1.7713155019,0.98125,0.983,0.430906,0.423,0.7632704777,0.4228265125,0.415809,0.1771315502,0.098125,0.0983
House B,86,Normal,72,18,1.9270217098,1.28271,1.26894,0.125703,0.12869,0.24223241,0.1612404951,0.1632998886,0.192702171,0.128271,0.126894
House B,105.1,Hot,72,18,1.9327456779,1.27358,1.273,0.127012,0.13459,0.245481894,0.161759943,0.17133307,0.1932745678,0.127358,0.1273
House B,107.1,Hot,76,17,1.9394301305,1.27722,1.285,0.535123,0.529,1.0378336697,0.6834697981,0.679765,0.1939430131,0.127722,0.1285
House B,105.1,Hot,76,19,2.0596887781,1.50417,1.511,0.081082,0.07174,0.1670036855,0.1219611119,0.10839914,0.2059688778,0.150417,0.1511
House B,107.1,Hot,74,17,1.9516869306,1.28556,1.288,0.535123,0.529,1.0443925654,0.6879327239,0.681352,0.1951686931,0.128556,0.1288
House B,86,Normal,76,18,2.0061240606,1.37297,1.37226,0.125703,0.12869,0.2521758128,0.1725864479,0.1765961394,0.2006124061,0.137297,0.137226
